# Configuration setting
# https://github.com/riscv/riscv-v-spec/blob/master/vcfg-format.adoc
vsetivli          | r | zimm10 zimm rd    | 11...............111.....1010111
vmulh.vx          | r | vm vs2 rs1 vd     | 100111...........110.....1010111
vmadd.vx          | r | vm vs2 rs1 vd     | 101001...........110.....1010111
vnmsub.vx         | r | vm vs2 rs1 vd     | 101011...........110.....1010111
vmacc.vx          | r | vm vs2 rs1 vd     | 101101...........110.....1010111
vnmsac.vx         | r | vm vs2 rs1 vd     | 101111...........110.....1010111

vwaddu.vx         | r | vm vs2 rs1 vd     | 110000...........110.....1010111
vwadd.vx          | r | vm vs2 rs1 vd     | 110001...........110.....1010111
vwsubu.vx         | r | vm vs2 rs1 vd     | 110010...........110.....1010111
vwsub.vx          | r | vm vs2 rs1 vd     | 110011...........110.....1010111
vwaddu.wx         | r | vm vs2 rs1 vd     | 110100...........110.....1010111
vwadd.wx          | r | vm vs2 rs1 vd     | 110101...........110.....1010111
vwsubu.wx         | r | vm vs2 rs1 vd     | 110110...........110.....1010111
vwsub.wx          | r | vm vs2 rs1 vd     | 110111...........110.....1010111
vwmulu.vx         | r | vm vs2 rs1 vd     | 111000...........110.....1010111
vwmulsu.vx        | r | vm vs2 rs1 vd     | 111010...........110.....1010111
vwmul.vx          | r | vm vs2 rs1 vd     | 111011...........110.....1010111
vwmaccu.vx        | r | vm vs2 rs1 vd     | 111100...........110.....1010111
vwmacc.vx         | r | vm vs2 rs1 vd     | 111101...........110.....1010111
vwmaccus.vx       | r | vm vs2 rs1 vd     | 111110...........110.....1010111
vwmaccsu.vx       | r | vm vs2 rs1 vd     | 111111...........110.....1010111
